PAA Title,Parent,Text,URL,URL Title
Welche Rolle spielen die Eltern bei der Erziehung?,Elternschaft und Erziehung,"Eltern spielen in der Erziehung und Persönlichkeitsentwicklung ihres Kindes eine wichtige Rolle, denn die Kleinen ahmen vieles nach. Der Grund ist, dass Kinder dadurch lernen, dass sie die Verhaltensweisen ihrer sozialen Vorbilder imitieren. Damit tragen die Eltern eine große Verantwortung.","https://www.schule-und-familie.de/familie/tipps-fuer-schule-und-erziehung/sie-sind-vorbild.html#:~:text=Eltern%20spielen%20in%20der%20Erziehung,die%20Eltern%20eine%20gro%C3%9Fe%20Verantwortung.",Kinder sind das Spiegelbild ihrer Eltern - Schule-und-Familie.de
Was versteht man unter Elternschaft?,Elternschaft und Erziehung,"Im Regelfall sind der Ehemann oder die eingetragene Lebenspartnerin der Mutter die Eltern des Kindes im rechtlichen Sinne. Davon abweichend kann ein Mann durch die Vaterschaftsanerkennung zum rechtlichen oder juristischen Vater eines Kindes werden, auch wenn es nicht sein biologisches Kind ist.","https://de.wikipedia.org/wiki/Elternschaft#:~:text=Im%20Regelfall%20sind%20der%20Ehemann,nicht%20sein%20biologisches%20Kind%20ist.",Elternschaft - Wikipedia
Welche Elternschaften gibt es?,Elternschaft und Erziehung,"   Unterschieden wird im Folgenden, anders als in der Familienforschung üblich, zwischen biologischer, psychischer und sozialer Elternschaft, darüber hinaus: bei biologischer Elternschaft zwischen genetischer und nicht genetischer und bei sozialer Elternschaft zwischen familialer und rechtlicher. 14 Aug 2018","https://www.familienhandbuch.de/familie-leben/familienformen/elternschaft/EinKindzweiElternVielfaltvonElternschaft.php#:~:text=Unterschieden%20wird%20im%20Folgenden%2C%20anders,Elternschaft%20zwischen%20familialer%20und%20rechtlicher.",Ein Kind – zwei Eltern? Vielfalt von Elternschaft - Familienhandbuch
Was ist gute Elternschaft?,Elternschaft und Erziehung,"34.1 Merkmale guter Elternschaft     Unbestritten ist, dass Eltern daneben auch die existentiellen Grundbedürfnisse des Kindes stillen müssen und entsprechend für eine an- gemessene Ernährung, körperlichen Schutz, Unter- kunft, passende Kleidung sowie den Zugang zu Ge- sundheit und Bildung sorgen müssen.",https://link.springer.com/content/pdf/10.1007/978-3-476-04745-8_34.pdf,34 Merkmale und Voraussetzungen guter Elternschaft - Springer Link
Was ist Eltern in der Erziehung wichtig?,Welche Rolle spielen die Eltern bei der Erziehung?,"   Ganz wichtig ist die Liebe zum Kind. Eltern sollten Freude daran haben, ihr Kind zu erziehen und die Beschäftigung mit ihm nicht als Belastung sehen. Auch wenn die Erziehung eine große Verantwortung darstellt, kann sie viel Spaß bereiten. Besonders wichtig ist, das Kind in seiner Persönlichkeit zu achten.","https://www.planet-wissen.de/gesellschaft/lernen/geschichte_der_erziehung/pwieerziehungheute100.html#:~:text=Ganz%20wichtig%20ist%20die%20Liebe,in%20seiner%20Pers%C3%B6nlichkeit%20zu%20achten.",Erziehung heute - Lernen - Gesellschaft - Planet Wissen
Warum ist die Zusammenarbeit mit Eltern so wichtig?,Welche Rolle spielen die Eltern bei der Erziehung?,"Eltern sind die ersten und wichtigsten Bindungspersonen ihres Kindes und für uns die wichtigsten Partner bei der Bildung und Erziehung der Kinder. Eine gegenseitige Wertschätzung, Anerkennung und Unterstützung sind daher unverzichtbar, um den Kindern die Entwicklung eines positiven Selbstbildes zu ermöglichen.","https://www.kindergarten-am-hirschhof.de/konzeptionelles/zusammenarbeit-mit-eltern#:~:text=Eltern%20sind%20die%20ersten%20und,eines%20positiven%20Selbstbildes%20zu%20erm%C3%B6glichen.",Konzeptionelles - Zusammenarbeit mit Eltern - Kindergarten am Hirschhof
Wer für die Erziehung der Kinder zuständig ist?,Was versteht man unter Elternschaft?,Pflege und Erziehung der Kinder sind das natürliche Recht der Eltern und die zuvörderst ihnen obliegende Pflicht.,"https://www.kinderrechte.de/kinderrechte/die-gesetzlichen-regelungen-in-deutschland/#:~:text=Pflege%20und%20Erziehung%20der%20Kinder,die%20zuv%C3%B6rderst%20ihnen%20obliegende%20Pflicht.",Die gesetzlichen Regelungen in Deutschland - kinderrechte.de
Was Kinder von ihren Eltern erwarten?,Was versteht man unter Elternschaft?,"Das Ergebnis: Kinder wünschen sich von den Eltern vor allem Zeit und Liebe. Schöne Familienmomente, gemeinsame Ausflüge und Spaß stehen an erster Stelle, ein geputztes Zuhause und gute Kochkünste sind Kindern hingegen weniger wichtig. Ziel der Studie ist es, Eltern den Druck zu nehmen, immer perfekt zu sein. 23 Oct 2020","https://www.presseportal.de/pm/111476/4742307#:~:text=Das%20Ergebnis%3A%20Kinder%20w%C3%BCnschen%20sich,nehmen%2C%20immer%20perfekt%20zu%20sein.","Kaufland-Umfrage zeigt, was Kinder wirklich von Eltern erwarten"
Welche Pflichten haben Kinder bei ihren Eltern?,Was versteht man unter Elternschaft?,"Im Bürgerlichen Gesetzbuch BGB (§ 1619) ist dazu festgehalten: ""Das Kind ist, solange es dem elterlichen Hausstand angehört und von den Eltern erzogen oder unterhalten wird, verpflichtet, in einer seinen Kräften und seiner Lebensstellung entsprechenden Weise den Eltern in ihrem Hauswesen und Geschäft Dienste zu leisten ... 20 Sept 2022","https://www.familie.de/kleinkind/kinderrechte-und-kinderpflichten-was-muss-und-was-darf-mein-kind/#:~:text=Im%20B%C3%BCrgerlichen%20Gesetzbuch%20BGB%20(%C2%A7,und%20Gesch%C3%A4ft%20Dienste%20zu%20leisten",Kinderrechte und Kinderpflichten: Diese 9 Rechte sollten Eltern kennen
Was versteht man unter Elterneigenschaft?,Welche Elternschaften gibt es?,Durch die Elterneigenschaft ist ein Kind bis zum Erreichen einer bestimmten Altersgrenze automatisch bei einem gesetzlich versicherten Elternteil in der gesetzlichen Krankenkasse mitversichert – und zwar beitragsfrei.,"https://www.personio.de/hr-lexikon/elterneigenschaft/#:~:text=Durch%20die%20Elterneigenschaft%20ist%20ein,Krankenkasse%20mitversichert%20%E2%80%93%20und%20zwar%20beitragsfrei.","Alles, was Sie über Elterneigenschaft wissen müssen - Personio"
