PAA Title,Parent,Text,URL,URL Title
Was ist der Unterschied zwischen Paarberatung und Paartherapie?,Paartherapie und Eheberatung,"   Beides sind Formen der Begleitung von Paaren. Beide Begriffe haben ihre Berechtigung, werden aber häufig synonym verwendet. Die beiden Bezeichnungen dienen eher der Unterscheidung, welche Berufsgruppe die Begleitung vornimmt (Paartherapie = Dipl. -Psychologen, Paarberatung = übrige Berufsgruppen). 28 Dec 2017","https://paarberatung-koelnbonn.de/was-verbirgt-sich-hinter-paartherapie/#:~:text=Beides%20sind%20Formen%20der%20Begleitung,%2C%20Paarberatung%20%3D%20%C3%BCbrige%20Berufsgruppen).",Unterschiede zu anderen Therapieformen
Was passiert bei einer Eheberatung Paartherapie?,Paartherapie und Eheberatung,"Bei jeder Paarberatung geht es um die Beziehung der Partner. Die Beziehung ist sozusagen der »Patient«, da die Partner sich in ihr nicht (mehr) wohlfühlen. Es geht in der Beratung um Kommunikationsprobleme, Dauerkonflikte, Streit und Verletzungen unter denen beide Partner leiden und die sie alleine nicht lösen können.","https://www.profamilia-mainz.de/de/beratung/beratung-partnerschaft-sexualitaet-paar.html#:~:text=Bei%20jeder%20Paarberatung%20geht%20es,sie%20alleine%20nicht%20l%C3%B6sen%20k%C3%B6nnen.",Was ist Paarberatung? | Partnerschaft und Sexualität - Profamilia Mainz
Wann macht eine Paartherapie keinen Sinn mehr?,Paartherapie und Eheberatung,"Auf die Frage, wo die Grenzen liegen, antwortet Schallauer: „Wenn sich einer der Partner bereits innerlich von der Beziehung verabschiedet hat, wenn eine Außenbeziehung besteht, die nicht beendet wird, oder wenn die Bereitschaft eines Partners fehlt, dann macht eine Paartherapie wenig Sinn. 11 May 2020","https://www.meinegesundheit.at/cdscontent/?contentid=10007.688672#:~:text=Auf%20die%20Frage%2C%20wo%20die,macht%20eine%20Paartherapie%20wenig%20Sinn.",Paartherapie: Möglichkeiten und Grenzen
Wie viel kostet eine Eheberatung?,Paartherapie und Eheberatung,"Bei einem seriösen und zertifizierten Therapeuten liegen die Kosten bei 80 bis 200€ pro Therapiestunde, je nach Dauer und Form der Paartherapie. Beachten Sie, ob die Abrechnung für 60 oder 90 Minuten Beratungszeit gilt. 5 May 2022","https://www.commerzbank.de/ratgeber/familie/was-kostet-eine-paartherapie/#:~:text=Bei%20einem%20seri%C3%B6sen%20und%20zertifizierten,oder%2090%20Minuten%20Beratungszeit%20gilt.",Kosten einer Paartherapie in der Übersicht - Commerzbank
Kann eine Eheberatung wirklich helfen?,Was ist der Unterschied zwischen Paarberatung und Paartherapie?,"Eine Eheberatung / Paarberatung macht nur Sinn, wenn beide Partner sich darauf völlig einlassen. Beide Seiten müssen offen über Probleme und Wünsche sowie über unangenehme Themen, wie Sexualität oder tiefe Gefühle, sprechen können. Gleiche Wertvorstellungen sind wichtig für eine Beziehung.","https://www.trennung.de/wann-kann-eine-paartherapie-nicht-helfen.html#:~:text=Eine%20Eheberatung%20%2F%20Paarberatung%20macht%20nur,oder%20tiefe%20Gef%C3%BChle%2C%20sprechen%20k%C3%B6nnen.&text=Gleiche%20Wertvorstellungen%20sind%20wichtig%20f%C3%BCr%20eine%20Beziehung.",Wann kann eine Eheberatung / Paarberatung nicht mehr helfen?
Für wen ist eine Paartherapie sinnvoll?,Was ist der Unterschied zwischen Paarberatung und Paartherapie?,"Eine Paartherapie ist besonders dann wichtig, wenn sich die Konflikte negativ auf den Lebensalltag und die psychische Gesundheit der Partner auswirken. In dem Fall kann die Paartherapie der Weg aus einem Teufelskreis sein, den die Beteiligten alleine nicht durchbrechen können. 23 Aug 2021","https://www.netdoktor.de/therapien/psychotherapie/paartherapie/#:~:text=Eine%20Paartherapie%20ist%20besonders%20dann,Beteiligten%20alleine%20nicht%20durchbrechen%20k%C3%B6nnen.","Paartherapie: Methode, Anwendung, Wirkung - NetDoktor.de"
Wie viele Paare trennen sich nach Paartherapie?,Was passiert bei einer Eheberatung Paartherapie?,"Auch eine konstruktive Trennung kann hilfreich sein und wird in der modernen Ergebnisforschung entsprechend bewertet. Vereinfacht gesagt, sind etwa zwei Drittel der Paartherapien erfolgreich, das heißt etwa 66 von 100 Paaren erleben irgendeine Verbesserung. 17 May 2010","https://www.sueddeutsche.de/wissen/paartherapie-66-prozent-erleben-irgendeine-besserung-1.456782#:~:text=Auch%20eine%20konstruktive%20Trennung%20kann,100%20Paaren%20erleben%20irgendeine%20Verbesserung.",Paartherapie - ""66 Prozent erleben irgendeine Besserung"" - Wissen
Welche Fragen stellt der Paartherapeut?,Was passiert bei einer Eheberatung Paartherapie?,   Beginnen wir mit einigen möglichen Fragen für die erste Sitzung: 1 – Wie lange sind Sie schon ein Paar? ...  3 – Waren Sie schon einmal in einer Paartherapie? ...  5 – Was erwarten Sie sich von dieser Paartherapie? ...  7 – Was ist für Sie derzeit das größte Problem in der Beziehung? More items... • 10 Feb 2021,https://clevermemo.com/blog/paartherapie-fragen-paarberatung-systemische-paartherapie/,57 Paartherapie Fragen – Für die Paarberatung und systemische ...
Wann ist es sinnvoll eine Beziehung zu beenden?,Was passiert bei einer Eheberatung Paartherapie?,"Du findest keinen Trost bei ihr:ihm. Dir geht es schlecht, aber du rufst lieber deine Freundin oder Schwester an, als mit deinem:deiner Partner:in zu reden? Wenn das immer häufiger der Fall ist, ist das Vertrauen verlorengegangen – und das ist nun mal die Basis für jede Beziehung. 21 Feb 2023","https://www.brigitte.de/liebe/beziehung/diese-warnsignale-deuten-darauf-hin--dass-eure-beziehung-keinen-sinn-hat-10805060.html#:~:text=Du%20findest%20keinen%20Trost%20bei,die%20Basis%20f%C3%BCr%20jede%20Beziehung.","Diese Warnsignale deuten darauf hin, dass eure Beziehung keinen Sinn hat"
Wie kann ich eine kaputte Beziehung retten?,Wann macht eine Paartherapie keinen Sinn mehr?,"Gemeinsame Zeit    Zeit miteinander zu verbringen ist das wohl Wichtigste, wenn Sie eine Trennung vermeiden und damit Ihre Beziehung retten möchten. Früher haben sie beide sich doch sicherlich auch immer mal etwas Schönes für ihre gemeinsame Freizeitbeschäftigung einfallen lassen, fangen sie damit wieder an.","https://www.gala.de/lifestyle/beziehung-retten--7-tipps--um-ihre-beziehung-zu-retten-22263674.html#:~:text=Gemeinsame%20Zeit,fangen%20sie%20damit%20wieder%20an.","Beziehung retten: 7 Tipps, um Ihre Beziehung zu retten - GALA.de"
