близкий к, nah bei D
большой для, groß für A
важный для, wichtig für A
внутренний для, innerhalb für A
возле, in der Nähe von D
вокруг, um A
выше, über D
готовый к, bereit für A
дальний от, weit weg von D
доступный к, zugänglich für A
другой от, anders als A
закрытый для, geschlossen für A
занятый для, beschäftigt für A
заинтересованный в, interessiert an D
замечательный для, wunderbar für A
значимый для, bedeutsam für A
известный как, bekannt als N
изумительный в, erstaunlich in D
интересный для, interessant für A
красивый для, schön für A
легкий для, leicht für A
маленький для, klein für A
напротив, gegenüber von D
насыщенный чем-то, gesättigt mit D
недалеко от, nicht weit von D
независимый от, unabhängig von D
незаменимый для, unersetzlich für A
ненавистный к, verhasst gegenüber D
новый для, neu für A
нужный для, nötig für A
обеспокоенный чем-то, besorgt um A
общий с, gemeinsam mit D
огромный для, riesig für A
одинаковый с, gleich wie D
около, in der Nähe von D
опасный для, gefährlich für A
осведомленный о, informiert über A
полезный для, nützlich für A
прекрасный для, herrlich für A
приятный для, angenehm für A
простой для, einfach für A
противоположный к, entgegengesetzt zu D
свободный от, frei von D
сильный в, stark in D
счастливый с, glücklich mit D
трудный для, schwierig für A
уверенный в, sicher in D
хороший для, gut für A
ценный для, wertvoll für A
чистый от, sauber von D
шумный из-за, laut wegen G
абсолютный в, absolut in D
активный в, aktiv in D
бедный в, arm an D
безопасный для, sicher für A
безразличный к, gleichgültig gegenüber D
беспокойный о, besorgt über A
богатый на, reich an D
больной на, krank an D
веселый с, fröhlich mit D
вкусный для, lecker für A
возможный для, möglich für A
временный для, vorübergehend für A
высокий на, hoch auf D
глубокий в, tief in D
двойной в, doppelt in D
дешевый для, billig für A
добрый к, nett zu D
долгий на, lang auf D
дорогой для, teuer für A
доступный для, erreichbar für A
замкнутый в, geschlossen in D
заполненный чем-то, gefüllt mit D
запрещенный для, verboten für A
застенчивый перед, schüchtern vor D
значительный для, bedeutend für A
избыточный для, überschüssig für A
известный о, bekannt über A
изумленный чем-то, erstaunt über A
интеллектуальный в, intellektuell in D
круглый в, rund in D
легкий на, leicht auf D
малый для, gering für A
наклонный к, geneigt zu D
наличный в, vorhanden in D
напряженный из-за, angespannt wegen G
невероятный в, unglaublich in D
негативный к, negativ zu D
недостаточный для, unzureichend für A
ненужный для, unnötig für A
необходимый для, erforderlich für A
неправильный в, falsch in D
несчастный с, unglücklich mit D
обширный в, umfangreich in D
одинокий без, einsam ohne A
опасный из-за, gefährlich wegen G
очень близкий к, eng verbunden mit D
перспективный для, aussichtsreich für A
полный чего-то, voll von D
понятный для, verständlich für A
приятный к, angenehm zu D
прозрачный для, durchsichtig für A
радостный о, glücklich über A
различный от, unterschiedlich von D
реалистичный в, realistisch in D
