иметь дело с, sich beschäftigen mit D
ждать на, warten auf A
войти в, eintreten in A
выйти из, aussteigen aus D
говорить о, sprechen über A
думать об, nachdenken über A
заботиться о, sich kümmern um A
зависеть от, abhängen von D
заканчиваться на, enden auf D
заканчивать на, enden auf D
заниматься чем-либо, sich beschäftigen mit D
зарабатывать на жизнь, seinen Lebensunterhalt verdienen mit D
звонить по телефону, telefonieren mit D
знать о, wissen über A
интересоваться чем-либо, sich interessieren für A
использовать что-то, verwenden A
касаться чего-либо, betreffen A
клеить что-то, kleben an D
колебаться между, schwanken zwischen D
комментировать что-то, kommentieren A
кончать что-то, beenden A
копировать что-то, kopieren von D
кормить кого-то, füttern A
летать на самолете, fliegen mit D
мечтать о, träumen von D
нуждаться в, brauchen A
обсуждать что-то, diskutieren über A
одеваться в, sich kleiden in A
ожидать чего-либо, erwarten A
опаздывать на, sich verspäten zu D
отвечать на, antworten auf A
привыкать к, sich gewöhnen an A
проходить через, durchlaufen A
работать над, arbeiten an D
смотреть на, schauen auf A
снимать с себя, ausziehen A
сообщать о, berichten über A
спрашивать о, fragen nach D
страдать от, leiden an D
терпеть неудачу в, scheitern in D
требовать что-то, fordern A
удивляться чему-то, sich wundern über A
уезжать на, fahren nach D
учиться на, studieren an D
ходить по, gehen auf D
ценить что-то, schätzen A
читать о, lesen über A
шутить о, scherzen über A
беспокоиться о, sich sorgen um A
ввозить что-то, einführen nach D
вводить что-то, einführen in A
включать что-то, einschalten A
выключать что-то, ausschalten A
выходить за, heiraten A
говорить с, sprechen mit D
добавлять что-то, hinzufügen A
добавляться к, sich hinzufügen zu D
добавляться в, sich einfügen in A
заезжать в, hineinfahren in A
защищаться от, sich verteidigen gegen A
избегать, vermeiden A
изучать что-то, studieren A
инвестировать в, investieren in A
кормить что-то, füttern mit D
летать через, fliegen über A
навещать кого-то, besuchen A
навязывать что-то, aufdrängen A
направлять что-то, lenken in A
направляться к, zusteuern auf A
напугать кого-то, erschrecken A
наступать на, treten auf A
начинать с, beginnen mit D
объяснять что-то, erklären A
объясняться по, sich erklären durch A
ограничивать что-то, beschränken auf A
оживлять что-то, beleben A
освобождаться от, sich befreien von D
осуществлять что-то, durchführen A
отвлекаться от, sich ablenken von D
отказываться от, verzichten auf A
отправляться на, sich begeben auf A
